SiteID,Date _SlugAddition,Dectime_hour,BCSC_uS_cm,,
STR1,8/5/2024,15.6031,4,,
STR1,8/5/2024,15.6033,4,,
STR1,8/5/2024,15.6036,4,,
STR1,8/5/2024,15.6039,4,,
STR1,8/5/2024,15.6042,4,,
STR1,8/5/2024,15.6044,4,,
STR1,8/5/2024,15.6047,4,,
STR1,8/5/2024,15.6050,4,,
STR1,8/5/2024,15.6053,4,,
STR1,8/5/2024,15.6056,4,,
STR1,8/5/2024,15.6058,4,,
STR1,8/5/2024,15.6061,4,,
STR1,8/5/2024,15.6064,4,,
STR1,8/5/2024,15.6067,4,,
STR1,8/5/2024,15.6069,4,,
STR1,8/5/2024,15.6072,4,,
STR1,8/5/2024,15.6075,4,,
STR1,8/5/2024,15.6078,4,,
STR1,8/5/2024,15.6081,4,,
STR1,8/5/2024,15.6083,4,,
STR1,8/5/2024,15.6086,3,,
STR1,8/5/2024,15.6089,3,,
STR1,8/5/2024,15.6092,3,,
STR1,8/5/2024,15.6094,3,,
STR1,8/5/2024,15.6097,3,,
STR1,8/5/2024,15.6100,3,,
STR1,8/5/2024,15.6103,3,,
STR1,8/5/2024,15.6106,3,,
STR1,8/5/2024,15.6108,3,,
STR1,8/5/2024,15.6111,3,,
STR1,8/5/2024,15.6114,3,,
STR1,8/5/2024,15.6117,3,,
STR1,8/5/2024,15.6119,3,,
STR1,8/5/2024,15.6122,3,,
STR1,8/5/2024,15.6125,3,,
STR1,8/5/2024,15.6128,3,,
STR1,8/5/2024,15.6131,3,,
STR1,8/5/2024,15.6133,3,,
STR1,8/5/2024,15.6136,3,,
STR1,8/5/2024,15.6139,3,,
STR1,8/5/2024,15.6142,3,,
STR1,8/5/2024,15.6144,3,,
STR1,8/5/2024,15.6147,3,,
STR1,8/5/2024,15.6150,3,,
STR1,8/5/2024,15.6153,3,,
STR1,8/5/2024,15.6156,3,,
STR1,8/5/2024,15.6158,3,,
STR1,8/5/2024,15.6161,3,,
STR1,8/5/2024,15.6164,3,,
STR1,8/5/2024,15.6167,3,,
STR1,8/5/2024,15.6169,3,,
STR1,8/5/2024,15.6172,3,,
STR1,8/5/2024,15.6175,3,,
STR1,8/5/2024,15.6178,3,,
STR1,8/5/2024,15.6181,3,,
STR1,8/5/2024,15.6183,3,,
STR1,8/5/2024,15.6186,3,,
STR1,8/5/2024,15.6189,3,,
STR1,8/5/2024,15.6192,3,,
STR1,8/5/2024,15.6194,3,,
STR1,8/5/2024,15.6197,3,,
STR1,8/5/2024,15.6200,3,,
STR1,8/5/2024,15.6203,3,,
STR1,8/5/2024,15.6206,3,,
STR1,8/5/2024,15.6208,3,,
STR1,8/5/2024,15.6211,3,,
STR1,8/5/2024,15.6214,3,,
STR1,8/5/2024,15.6217,3,,
STR1,8/5/2024,15.6219,3,,
STR1,8/5/2024,15.6222,2,,
STR1,8/5/2024,15.6225,2,,
STR1,8/5/2024,15.6228,2,,
STR1,8/5/2024,15.6231,2,,
STR1,8/5/2024,15.6233,2,,
STR1,8/5/2024,15.6236,2,,
STR1,8/5/2024,15.6239,2,,
STR1,8/5/2024,15.6242,2,,
STR1,8/5/2024,15.6244,2,,
STR1,8/5/2024,15.6247,2,,
STR1,8/5/2024,15.6250,2,,
STR1,8/5/2024,15.6253,2,,
STR1,8/5/2024,15.6256,2,,
STR1,8/5/2024,15.6258,2,,
