SampleID,SiteID,SiteType,Date_Collected,Time_Collected,Depth_m_bgs,DTW_m_bgs,Dist_m,Date_NG_Run,He,Heerr,Ne,Neerr,Ar,Arerr,Kr,Krerr,Xe,Xeerr,N2,N2err,3He4He,3He4Heerr,20Ne22Ne,20Ne22Neerrr,40Ar36Ar,40Ar36Arerr,86Kr84Kr,86Kr84Krerr,130Xe132Xe,130Xe132Xeerr,3H_TU,3Herr_TU,delta_18O_permil,delta_2H_permil,SF6_fmol_kg
PG24-MW1,MW1,Streambank Well,8/2/2024,1500,1.3,0.85,55,8/22/2024,33.84,0.34,151.2,3.0,302.0,6.0,72.68,2.18,11.19,0.41,11.32,0.57,0.990,0.013,9.676,0.089,295.0,0.6,0.304,0.003,0.152,0.004,8.55,0.50,-16.88,-126.7,-9999
PG24-MW2,MW2,Streambank Well,8/2/2024,1045,1.0,0.13,215,8/22/2024,36.40,0.36,164.2,3.3,329.5,6.6,81.40,2.44,12.35,0.46,12.39,0.62,1.000,0.012,9.808,0.089,294.6,0.6,0.302,0.003,0.152,0.004,8.89,0.50,-16.81,-123.7,4.10
PG24-MW3,MW3,Streambank Well,8/1/2024,1400,1.4,0.10,393,8/21/2024,37.00,0.37,166.9,3.3,320.4,6.4,81.10,2.43,11.75,0.43,12.65,0.63,0.986,0.013,10.031,0.089,295.4,0.6,0.307,0.003,0.153,0.004,6.57,0.48,-16.52,-123.6,3.93
PG24-MW4,MW4,Streambank Well,8/1/2024,1115,1.6,0.54,548,8/22/2024,36.00,0.36,153.0,3.1,312.3,6.2,74.02,2.22,10.91,0.33,11.72,0.59,0.986,0.010,9.827,0.044,292.9,1.2,0.305,0.004,0.154,0.005,7.07,0.46,-16.81,-124.7,3.72
PG24-MW5,MW5,Streambank Well,8/1/2024,945,1.3,0.30,647,8/22/2024,35.68,0.36,151.0,3.0,313.3,6.3,75.34,2.26,11.24,0.34,11.73,0.59,1.008,0.010,9.863,0.044,295.7,1.2,0.305,0.004,0.154,0.005,6.80,0.45,-16.76,-122.5,4.09
PG24-SMW1,SMW1,Spring Well,8/1/2024,1515,0.7,0.00,315,8/21/2024,38.96,0.39,165.3,3.3,344.9,6.9,84.68,2.54,12.61,0.38,13.06,0.65,1.013,0.010,9.802,0.044,296.3,1.2,0.306,0.004,0.154,0.005,7.92,0.49,-16.78,-124.0,4.90
PG24-SMW2,SMW2,Spring Well,8/2/2024,915,0.5,0.00,253,8/21/2024,40.18,0.40,171.8,3.4,331.9,6.6,78.81,2.36,11.58,0.35,12.66,0.63,1.022,0.010,9.833,0.044,296.6,1.2,0.305,0.004,0.153,0.005,8.35,0.51,-16.81,-123.7,4.55
PG24-SMW3,SMW3,Spring Well,8/2/2024,1230,1.0,0.00,192,8/21/2024,38.13,0.38,169.6,3.4,349.7,7.0,83.04,2.49,12.59,0.38,13.10,0.66,1.000,0.010,9.833,0.044,295.7,1.2,0.310,0.004,0.152,0.005,9.93,0.53,-16.78,-122.7,5.99
PG24-RBS1,RBS1,Spring,8/6/2024,900,-9999.0,-9999,464,8/20/2024,35.14,0.35,151.7,3.0,335.2,6.7,82.89,2.49,12.81,0.38,12.29,0.61,0.988,0.010,9.813,0.044,296.1,1.2,0.306,0.004,0.152,0.005,10.17,0.53,-16.38,-120.6,4.22
PG24-RBS2,RBS2,Spring,8/6/2024,1040,-9999.0,-9999,300,8/20/2024,36.70,0.37,160.9,3.2,351.2,7.0,86.32,2.59,13.03,0.39,13.06,0.65,0.994,0.010,9.851,0.044,295.9,1.2,0.306,0.004,0.153,0.005,10.56,0.56,-16.79,-122.5,6.97
PG24-PTL1,PTL1,Portal Drainage,7/31/2024,1500,-9999.0,-9999,-9999,8/20/2024,36.55,0.37,152.8,3.1,321.7,6.4,78.66,2.36,12.27,0.37,11.89,0.59,0.972,0.011,9.851,0.044,295.2,1.2,0.302,0.004,0.152,0.005,5.70,0.42,-16.95,-126.4,13.96
PG24-PTL2,PTL2-GG393,LBI,8/5/2024,1015,-9999.0,-9999,393,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-16.92,-124.7,-9999
PG24-STR1,STR1,Stream,8/5/2024,1145,-9999.0,-9999,20,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.66,0.52,-16.78,-124.9,3.44
PG24-STR2,STR2,Stream,8/5/2024,1125,-9999.0,-9999,126,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-16.78,-124.3,-9999
PG24-STR3,STR3,Stream,8/5/2024,1050,-9999.0,-9999,338,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.17,0.55,-16.71,-124.6,3.65
PG24-STR4,STR4,Stream,8/5/2024,940,-9999.0,-9999,474,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.41,0.47,-16.91,-126.5,3.45
PG24-STR5,STR5,Stream,8/5/2024,900,-9999.0,-9999,596,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-16.87,-125.1,-9999
PG24-STR6,STR6,Stream,8/5/2024,830,-9999.0,-9999,695,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.95,0.46,-16.80,-125.6,3.30
